TERR_ID,NAME,KODTERR,IS_OKATO,SHORTNAME
96254,"Следственный комитет при прокуратуре Российской Федерации",44444000000,0,"Следственный комитет при прокуратуре Российской Федерации"
96255,"Торгово-промышленная палата РФ",55555000000,0,"Торгово-промышленная палата РФ"
96256,"Администрация Президента Российской Федерации",11002000000,0,"Администрация Президента РФ"
96257,"Всероссийское общество слепых",11111000000,0,"Всероссийское общество слепых"
96258,"Министерство внутренних дел Российской Федерации",13110000000,0,"МВД России"
96259,"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",13130000000,0,"МЧС России"
96260,"Министерство иностранных дел Российской Федерации",13140000000,0,"МИД России"
96261,"Федеральная служба по техническому и экспортному контролю",13164000000,0,"ФСТЭК России"
96262,"Федеральное агентство специального строительства",13165000000,0,"Спецстрой России"
96263,"Министерство юстиции Российской Федерации",13170000000,0,"Минюст России"
96264,"Государственная фельдъегерская служба Российской Федерации (федеральная служба)",13191000000,0,"ГФС России"
96265,"Федеральная служба безопасности Российской Федерации (федеральная служба)",13194000000,0,"ФСБ России"
96266,"Федеральная служба Российской Федерации по контролю за оборотом наркотиков (федеральная служба)",13195000000,0,"ФСКН России"
96267,"Федеральная служба охраны Российской Федерации (федеральная служба)",13196000000,0,"ФСО России"
96268,"Главное управление специальных программ Президента Российской Федерации (федеральное агентство)",13197000000,0,"ГУСП"
96269,"Управление делами Президента РФ",13198000000,0,"Управление делами Президента РФ"
96270,"Министерство здравоохранения и социального развития Российской Федерации",13220000000,0,"Минздравсоцразвития России"
96271,"Министерство культуры Российской Федерации",13230000000,0,"Минкультуры России"
96272,"Министерство образования и науки Российской Федерации",13240000000,0,"Минобрнауки России"
96273,"Министерство природных ресурсов и экологии Российской Федерации",13250000000,0,"Минприроды России"
96274,"Министерство промышленности и торговли Российской Федерации",13260000000,0,"Минпромторг России"
96275,"Министерство сельского хозяйства Российской Федерации",13270000000,0,"Минсельхоз России"
96276,"Министерство транспорта Российской Федерации",13280000000,0,"Минтранс России"
96277,"Министерство связи и массовых коммуникаций Российской Федерации",13290000000,0,"Минкомсвязь России"
96278,"Министерство финансов Российской Федерации",13310000000,0,"Минфин России"
96279,"Министерство экономического развития Российской Федерации",13320000000,0,"Минэкономразвития России"
96280,"Министерство регионального развития Российской Федерации",13330000000,0,"Минрегион России"
96281,"Министерство спорта, туризма и молодежной политики Российской Федерации",13340000000,0,"Минспорттуризм России"
96282,"Министерство энергетики Российской Федерации",13360000000,0,"Минэнерго России"
96283,"Федеральная антимонопольная служба",13371000000,0,"ФАС России"
96284,"Федеральная служба по тарифам",13372000000,0,"ФСТ России"
96285,"Государственная корпорация по атомной энергии «Росатом»",13377000000,0,"Государственная корпорация по атомной энергии «Росатом»"
96286,"Федеральное космическое агентство",13378000000,0,"Роскосмос"
96287,"Федеральное агентство по обустройству государственной границы Российской Федерации0",13382000000,0,"Росграница"
96288,"Федеральное агентство по поставкам вооружения, военной, специальной техники и материальных средств",13383000000,0,"Рособоронпоставка"
96289,"Федеральная таможенная служба",13386000000,0,"ФТС России"
96290,"Федеральная служба по финансовому мониторингу",13388000000,0,"Росфинмониторинг"
96291,"Федеральное агентство по рыболовству",13392000000,0,"Росрыболовство"
96292,"Федеральное государственное унитарное предприятие «Информационное телеграфное агентство России (ИТАР-ТАСС)»",13728000000,0,"ИТАР – ТАСС"
96293,"Генеральная прокуратура РФ",14004000000,0,"Генеральная прокуратура РФ"
96294,"Верховный Суд Российской Федерации",14005000000,0,"Судебный департамент при Верховном Суде Российской Федерации"
96295,"Центральный банк России",15001000000,0,"Центральный банк России"
96296,"Банк ВТБ",15002000000,0,"Банк ВТБ"
96297,"Внешэкономбанк России",15003000000,0,"Внешэкономбанк России"
96298,"Сбербанк России",15007000000,0,"Сбербанк России"
96399,"Пенсионный фонд РФ",15013000000,0,"Пенсионный фонд РФ"
96300,"Российская академия наук",15065000000,0,"Российская академия наук"
96301,"Российская академия сельскохозяйственных наук",15070000000,0,"Российская академия сельскохозяйственных наук"
96302,"Российская академия медицинских наук",15075000000,0,"Российская академия медицинских наук"
96303,"ГКО «Ассоциация «Росрыбхоз»",22222000000,0,"ГКО «Ассоциация «Росрыбхоз»"
96304,"Российская оборонная спортивно-техническая организация",23410000000,0,"РОСТО (ДОСААФ)"
96305,"Росрыбколхозсоюз",33333000000,0,"Росрыбколхозсоюз"
96306,"ОАО «Корпорация «Трансстрой»",41057000000,0,"ОАО «Корпорация «Трансстрой»"
96307,"Центральный союз потребительских обществ Российской Федерации",41058000000,0,"Центросоюз России"
96308,"ОАО корпорация «Монтажспецстрой»",49013000000,0,"ОАО корпорация «Монтажспецстрой»"
96309,"Республика Алтай",84000000000,1,"Правительство Республики Алтай"
96310,"Алтайский край",01000000000,1,"Администрация Алтайского края"
96311,"Краснодарский край",03000000000,1,"Администрация Краснодарского края"
96312,"Красноярский край",04000000000,1,"Совет администрация Красноярского края"
96313,"Приморский край",05000000000,1,"Администрация Приморского края"
96314,"Ставропольский край",07000000000,1,"Правительство Ставропольского края"
96315,"Хабаровский край",08000000000,1,"Правительство Хабаровского края"
96316,"Амурская область",10000000000,1,"Правительство Амурской обл."
96317,"Архангельская область",11000000000,1,"Администрация Архангельской обл."
96318,"Ненецкий автономный округ",1300000000,1,"Администрация Ненецкого автономного округа"
96319,"Астраханская область",12000000000,1,"Правительство Астраханской обл."
96320,"Белгородская область",14000000000,1,"Правительство Белгородской обл."
96321,"Брянская область",15000000000,1,"Администрация Брянской обл."
96322,"Владимирская область",17000000000,1,"Администрация Владимирской обл."
96323,"Волгоградская область",18000000000,1,"Администрация Волгоградской обл."
96324,"Вологодская область",19000000000,1,"Правительство Вологодской обл."
96325,"Воронежская область",20000000000,1,"Администрация Воронежской обл."
96326,"Нижегородская область",22000000000,1,"Правительство Нижегородской обл."
96327,"Ивановская область",24000000000,1,"Правительство Ивановской обл."
96328,"Иркутская область",25000000000,1,"Администрация Иркутской обл."
96329,"Республика Ингушетия",26000000000,1,"Правительство Республики Ингушетия"
96330,"Калининградская область",27000000000,1,"Правительство Калининградской обл."
96331,"Тверская область",28000000000,1,"Администрация Тверской обл."
96332,"Калужская область",29000000000,1,"Правительство Калужской обл."
96333,"Камчатская область",30000000000,1,"Правительство Камчатского края"
96334,"Кемеровская область",32000000000,1,"Администрация Кемеровской обл."
96335,"Кировская область",33000000000,1,"Правительство Кировской обл."
96336,"Костромская область",34000000000,1,"Администрация Костромской обл."
96337,"Самарская область",36000000000,1,"Правительство Самарской обл."
96338,"Курганская область",37000000000,1,"Правительство Курганской обл."
96339,"Курская область",38000000000,1,"Администрация Курской обл."
96340,"Город Санкт-Петербург город федерального значения",40000000000,1,"Правительство Санкт-Петербурга"
96341,"Ленинградская область",41000000000,1,"Правительство Ленинградской обл."
96342,"Липецкая область",42000000000,1,"Администрация Липецкой обл."
96343,"Магаданская область",44000000000,1,"Администрация Магаданской обл."
96344,"Московская область",46000000000,1,"Правительство Московской обл."
96345,"Мурманская область",47000000000,1,"Правительство Мурманской обл."
96346,"Новгородская область",49000000000,1,"Администрация Новгородской обл."
96347,"Новосибирская область",50000000000,1,"Администрация Новосибирской обл."
96348,"Омская область",52000000000,1,"Правительство Омской обл."
96349,"Оренбургская область",53000000000,1,"Правительство Оренбургской обл."
96350,"Орловская область",54000000000,1,"Администрация Орловской обл."
96351,"Пензенская область",56000000000,1,"Правительство Пензенской обл."
96352,"Пермская область",57000000000,1,"Правительство Пермского края"
96353,"Псковская область",58000000000,1,"Администрация Псковской обл."
96354,"Ростовская область",60000000000,1,"Администрация Ростовской обл."
96355,"Рязанская область",61000000000,1,"Правительство Рязанской обл."
96356,"Саратовская область",63000000000,1,"Правительство Саратовской обл."
96357,"Сахалинская область",64000000000,1,"Администрация Сахалинской обл."
96358,"Свердловская область",65000000000,1,"Правительство Свердловской обл."
96359,"Смоленская область",66000000000,1,"Администрация Смоленской обл."
96360,"Тамбовская область",68000000000,1,"Администрация Тамбовской обл."
96361,"Томская область",69000000000,1,"Администрация Томской обл."
96362,"Тульская область",70000000000,1,"Администрация Тульской обл."
96363,"Тюменская область",71000000000,1,"Правительство Тюменской обл."
96364,"Ханты – Мансийский автономный округ - Югра",72000000000,1,"Правительство Ханты-Мансийского автономного округа - Югры"
96365,"Ямало-Ненецкий автономный округ",74000000000,1,"Администрация Ямало-Ненецкого автономного округа"
96366,"Ульяновская область",73000000000,1,"Правительство Ульяновской обл."
96367,"Челябинская область",75000000000,1,"Правительство Челябинской обл."
96368,"Забайкальский край",76000000000,1,"Правительство Забайкальского края"
96369,"Чукотский автономный округ",77000000000,1,"Правительство Чукотского автономного округа"
96370,"Ярославская область",78000000000,1,"Правительство Ярославской обл."
96371,"Республика Адыгея (Адыгея)",79000000000,1,"Кабинет Министров Республики Адыгея"
96372,"Республика Башкортостан",80000000000,1,"Правительство Республики Башкортостан"
96373,"Республика Бурятия",81000000000,1,"Правительство Республики Бурятия"
96374,"Республика Дагестан",82000000000,1,"Правительство Республики Дагестан"
96375,"Кабардино-Балкарская Республика",83000000000,1,"Правительство Кабардино-Балкарской Республики"
